workload_id,workload_type,workload_description,cpu_cores,memory_gb,gpu_required,data_size_tb,io_intensive,network_bandwidth_gbps,concurrent_users,latency_requirement_ms,availability_requirement,data_location,storage_type,recommended_cluster_size,recommended_node_count,estimated_cost_per_hour
workload_001,Feature Engineering,Feature Engineering workload processing 73.22619478695937TB of data with 701 users,10,67,False,73.23,True,23.82,701,2984.65,97.22,us-east-1,NVMe,small,4,2.0
workload_002,Batch Processing,Nightly ETL jobs processing 60.15138967314656TB of data from multiple sources,14,90,False,60.15,True,21.79,664,3254.79,95.28,us-east-1,EFS,small,3,1.5
workload_003,Machine Learning Training,Training deep neural networks on 18.42211053435804TB of training data with 460 data scientists,53,449,False,18.42,True,26.36,460,3058.65,95.04,us-east-1,HDD,medium,3,3.6
workload_004,Batch Processing,Batch analytics workload requiring 20 cores for compute-intensive operations,20,106,False,14.04,True,15.68,476,4868.8,96.16,us-west-2,EFS,small,3,1.5
workload_005,Stream Processing,Stream Processing workload processing 51.4720203975198TB of data with 832 users,54,221,False,51.47,True,39.98,832,2334.35,99.29,us-west-2,S3,medium,7,8.4
workload_006,Deep Learning,Deep Learning workload processing 94.2259553929168TB of data with 14 users,88,230,False,94.23,True,11.19,14,4042.18,96.52,us-west-2,S3,medium,7,8.4
workload_007,ETL Pipeline,ETL Pipeline workload processing 68.35802553066328TB of data with 428 users,5,99,False,68.36,False,6.78,428,2476.39,95.17,us-west-2,HDD,small,3,1.5
workload_008,ETL Pipeline,ETL Pipeline workload processing 75.56060489073349TB of data with 390 users,20,51,False,75.56,True,5.37,390,1040.5,97.83,us-east-1,S3,small,2,1.0
workload_009,Machine Learning Training,AutoML pipeline processing large feature sets with high memory requirements,78,465,False,93.96,False,79.76,958,4633.37,98.63,eu-west-1,SSD,large,12,30.0
workload_010,Data Mining,Data Mining workload processing 96.12108523249998TB of data with 725 users,17,102,False,96.12,False,13.5,725,1944.0,96.35,multi-region,SSD,small,2,1.0
workload_011,Stream Processing,Stream Processing workload processing 60.7427213438998TB of data with 493 users,31,185,False,60.74,True,97.39,493,705.48,99.0,us-east-1,EFS,large,5,12.5
workload_012,Data Warehousing,Multi-dimensional analysis on large fact tables with star schema design,120,966,False,39.55,True,26.94,648,28.61,99.07,multi-region,NVMe,large,5,12.5
workload_013,Deep Learning,Deep Learning workload processing 60.63540148062304TB of data with 490 users,23,226,True,60.64,True,81.12,490,1792.97,95.58,us-east-1,HDD,large,11,27.5
workload_014,Data Warehousing,Enterprise data warehouse storing 9.631470637392091TB with 503 concurrent query users,232,967,False,9.63,True,27.98,503,1555.6,96.62,us-west-2,SSD,large,7,17.5
workload_015,Stream Processing,Stream Processing workload processing 56.16821824218535TB of data with 739 users,51,135,False,56.17,True,45.6,739,598.85,98.56,eu-west-1,S3,medium,3,3.6
workload_016,Feature Engineering,Feature Engineering workload processing 25.681225443856267TB of data with 795 users,8,105,False,25.68,False,6.66,795,2614.14,97.13,us-west-2,NVMe,small,3,1.5
workload_017,ETL Pipeline,ETL Pipeline workload processing 89.58678320778459TB of data with 241 users,31,92,False,89.59,True,5.84,241,1572.47,97.54,eu-west-1,SSD,small,3,1.5
workload_018,Deep Learning,Deep Learning workload processing 54.03012502103715TB of data with 541 users,116,470,True,54.03,True,64.4,541,1144.76,95.38,us-west-2,S3,xlarge,9,45.0
workload_019,Stream Processing,Stream Processing workload processing 10.638876557044034TB of data with 796 users,49,76,False,10.64,True,47.17,796,4018.56,95.93,eu-west-1,EFS,medium,5,6.0
workload_020,Batch Processing,Nightly ETL jobs processing 90.69216131042083TB of data from multiple sources,29,107,False,90.69,False,9.55,385,1140.45,97.13,us-west-2,SSD,small,2,1.0
workload_021,ETL Pipeline,ETL Pipeline workload processing 51.12365552749882TB of data with 649 users,12,18,False,51.12,False,1.17,649,2424.67,98.46,eu-west-1,SSD,small,3,1.5
workload_022,Batch Processing,Nightly ETL jobs processing 32.38797290887345TB of data from multiple sources,15,39,False,32.39,False,23.63,608,2790.95,97.02,ap-southeast-1,S3,small,3,1.5
workload_023,Feature Engineering,Feature Engineering workload processing 25.253051352953882TB of data with 386 users,20,73,False,25.25,False,24.1,386,3561.64,95.74,us-west-2,NVMe,small,2,1.0
workload_024,Real-time Processing,Processing streaming data from 997 concurrent sources with sub-100ms latency requirements,56,33,False,5.24,True,62.7,997,1726.01,98.17,multi-region,EFS,medium,4,4.8
